vi	V(N005,N002)	I(Rd)
2.088999999999968e+00	-2.806240e+00	5.238001e-04
2.089999999999968e+00	-2.803242e+00	5.337904e-04
2.090999999999968e+00	-2.800207e+00	5.439657e-04
2.091999999999968e+00	-2.797134e+00	5.543294e-04
2.092999999999968e+00	-2.794023e+00	5.648846e-04
2.093999999999968e+00	-2.790873e+00	5.756349e-04
2.094999999999968e+00	-2.787683e+00	5.865837e-04
2.095999999999968e+00	-2.784453e+00	5.977345e-04
2.096999999999968e+00	-2.781182e+00	6.090907e-04
2.097999999999967e+00	-2.777869e+00	6.206560e-04
2.098999999999967e+00	-2.774513e+00	6.324342e-04
2.099999999999967e+00	-2.771114e+00	6.444288e-04
2.100999999999967e+00	-2.767671e+00	6.566438e-04
2.101999999999967e+00	-2.764183e+00	6.690828e-04
2.102999999999967e+00	-2.760650e+00	6.817500e-04
2.103999999999967e+00	-2.757070e+00	6.946491e-04
2.104999999999967e+00	-2.753443e+00	7.077843e-04
2.105999999999967e+00	-2.749768e+00	7.211596e-04
2.106999999999966e+00	-2.746044e+00	7.347793e-04
2.107999999999966e+00	-2.742270e+00	7.486474e-04
2.108999999999966e+00	-2.738446e+00	7.627685e-04
2.109999999999966e+00	-2.734571e+00	7.771467e-04
2.110999999999966e+00	-2.730643e+00	7.917866e-04
2.111999999999966e+00	-2.726662e+00	8.066926e-04
2.112999999999966e+00	-2.722626e+00	8.218694e-04
2.113999999999966e+00	-2.718536e+00	8.373215e-04
2.114999999999966e+00	-2.714389e+00	8.530536e-04
2.115999999999965e+00	-2.710186e+00	8.690707e-04
2.116999999999965e+00	-2.705925e+00	8.853775e-04
2.117999999999965e+00	-2.701604e+00	9.019789e-04
2.118999999999965e+00	-2.697224e+00	9.188800e-04
2.119999999999965e+00	-2.692783e+00	9.360860e-04
2.120999999999965e+00	-2.688279e+00	9.536018e-04
2.121999999999965e+00	-2.683713e+00	9.714329e-04
2.122999999999965e+00	-2.679083e+00	9.895846e-04
2.123999999999965e+00	-2.674387e+00	1.008062e-03
2.124999999999964e+00	-2.669626e+00	1.026871e-03
2.125999999999964e+00	-2.664797e+00	1.046017e-03
2.126999999999964e+00	-2.659899e+00	1.065506e-03
2.127999999999964e+00	-2.654931e+00	1.085343e-03
2.128999999999964e+00	-2.649893e+00	1.105534e-03
2.129999999999964e+00	-2.644783e+00	1.126086e-03
2.130999999999964e+00	-2.639599e+00	1.147004e-03
2.131999999999964e+00	-2.634341e+00	1.168294e-03
2.132999999999964e+00	-2.629008e+00	1.189962e-03
2.133999999999963e+00	-2.623597e+00	1.212016e-03
2.134999999999963e+00	-2.618108e+00	1.234460e-03
2.135999999999963e+00	-2.612540e+00	1.257302e-03
2.136999999999963e+00	-2.606890e+00	1.280549e-03
2.137999999999963e+00	-2.601159e+00	1.304206e-03
2.138999999999963e+00	-2.595344e+00	1.328280e-03
2.139999999999963e+00	-2.589444e+00	1.352779e-03
2.140999999999963e+00	-2.583458e+00	1.377710e-03
2.141999999999963e+00	-2.577384e+00	1.403079e-03
2.142999999999962e+00	-2.571222e+00	1.428893e-03
2.143999999999962e+00	-2.564968e+00	1.455160e-03
2.144999999999962e+00	-2.558622e+00	1.481888e-03
2.145999999999962e+00	-2.552184e+00	1.509083e-03
2.146999999999962e+00	-2.545649e+00	1.536753e-03
2.147999999999962e+00	-2.539019e+00	1.564906e-03
2.148999999999962e+00	-2.532290e+00	1.593550e-03
2.149999999999962e+00	-2.525461e+00	1.622692e-03
2.150999999999962e+00	-2.518532e+00	1.652341e-03
2.151999999999961e+00	-2.511499e+00	1.682505e-03
2.152999999999961e+00	-2.504361e+00	1.713192e-03
2.153999999999961e+00	-2.497118e+00	1.744409e-03
2.154999999999961e+00	-2.489767e+00	1.776167e-03
2.155999999999961e+00	-2.482306e+00	1.808472e-03
2.156999999999961e+00	-2.474733e+00	1.841335e-03
2.157999999999961e+00	-2.467047e+00	1.874764e-03
2.158999999999961e+00	-2.459247e+00	1.908767e-03
2.159999999999961e+00	-2.451329e+00	1.943353e-03
2.160999999999961e+00	-2.443293e+00	1.978533e-03
2.161999999999960e+00	-2.435137e+00	2.014315e-03
2.162999999999960e+00	-2.426858e+00	2.050708e-03
2.163999999999960e+00	-2.418456e+00	2.087723e-03
2.164999999999960e+00	-2.409926e+00	2.125368e-03
2.165999999999960e+00	-2.401269e+00	2.163654e-03
2.166999999999960e+00	-2.392482e+00	2.202590e-03
2.167999999999960e+00	-2.383563e+00	2.242187e-03
2.168999999999960e+00	-2.374509e+00	2.282454e-03
2.169999999999960e+00	-2.365319e+00	2.323403e-03
2.170999999999959e+00	-2.355991e+00	2.365043e-03
2.171999999999959e+00	-2.346523e+00	2.407385e-03
2.172999999999959e+00	-2.336912e+00	2.450440e-03
2.173999999999959e+00	-2.327156e+00	2.494218e-03
2.174999999999959e+00	-2.317254e+00	2.538730e-03
2.175999999999959e+00	-2.307202e+00	2.583989e-03
2.176999999999959e+00	-2.296999e+00	2.630004e-03
2.177999999999959e+00	-2.286643e+00	2.676788e-03
2.178999999999959e+00	-2.276130e+00	2.724351e-03
2.179999999999958e+00	-2.265459e+00	2.772706e-03
2.180999999999958e+00	-2.254627e+00	2.821865e-03
2.181999999999958e+00	-2.243633e+00	2.871838e-03
2.182999999999958e+00	-2.232472e+00	2.922639e-03
2.183999999999958e+00	-2.221144e+00	2.974280e-03
2.184999999999958e+00	-2.209645e+00	3.026773e-03
2.185999999999958e+00	-2.197974e+00	3.080131e-03
2.186999999999958e+00	-2.186127e+00	3.134365e-03
2.187999999999958e+00	-2.174102e+00	3.189491e-03
2.188999999999957e+00	-2.161896e+00	3.245519e-03
2.189999999999957e+00	-2.149507e+00	3.302464e-03
2.190999999999957e+00	-2.136932e+00	3.360338e-03
2.191999999999957e+00	-2.124169e+00	3.419155e-03
2.192999999999957e+00	-2.111214e+00	3.478930e-03
2.193999999999957e+00	-2.098065e+00	3.539674e-03
2.194999999999957e+00	-2.084719e+00	3.601404e-03
2.195999999999957e+00	-2.071174e+00	3.664132e-03
2.196999999999957e+00	-2.057425e+00	3.727872e-03
2.197999999999956e+00	-2.043472e+00	3.792640e-03
2.198999999999956e+00	-2.029310e+00	3.858449e-03
2.199999999999956e+00	-2.014937e+00	3.925316e-03
2.200999999999956e+00	-2.000349e+00	3.993253e-03
2.201999999999956e+00	-1.985545e+00	4.062277e-03
2.202999999999956e+00	-1.970520e+00	4.132402e-03
2.203999999999956e+00	-1.955271e+00	4.203645e-03
2.204999999999956e+00	-1.939796e+00	4.276020e-03
2.205999999999956e+00	-1.924091e+00	4.349543e-03
2.206999999999955e+00	-1.908154e+00	4.424230e-03
2.207999999999955e+00	-1.891980e+00	4.500098e-03
2.208999999999955e+00	-1.875567e+00	4.577162e-03
2.209999999999955e+00	-1.858912e+00	4.655438e-03
2.210999999999955e+00	-1.842011e+00	4.734945e-03
2.211999999999955e+00	-1.824861e+00	4.815697e-03
2.212999999999955e+00	-1.807458e+00	4.897711e-03
2.213999999999955e+00	-1.789799e+00	4.981006e-03
2.214999999999955e+00	-1.771881e+00	5.065598e-03
2.215999999999954e+00	-1.753699e+00	5.151504e-03
2.216999999999954e+00	-1.735251e+00	5.238743e-03
2.217999999999954e+00	-1.716534e+00	5.327331e-03
2.218999999999954e+00	-1.697543e+00	5.417286e-03
2.219999999999954e+00	-1.678274e+00	5.508628e-03
2.220999999999954e+00	-1.658725e+00	5.601374e-03
2.221999999999954e+00	-1.638892e+00	5.695542e-03
2.222999999999954e+00	-1.618770e+00	5.791151e-03
2.223999999999954e+00	-1.598356e+00	5.888219e-03
2.224999999999953e+00	-1.577647e+00	5.986767e-03
2.225999999999953e+00	-1.556638e+00	6.086812e-03
2.226999999999953e+00	-1.535325e+00	6.188374e-03
2.227999999999953e+00	-1.513705e+00	6.291474e-03
2.228999999999953e+00	-1.491774e+00	6.396129e-03
2.229999999999953e+00	-1.469528e+00	6.502360e-03
2.230999999999953e+00	-1.446963e+00	6.610187e-03
2.231999999999953e+00	-1.424074e+00	6.719630e-03
2.232999999999953e+00	-1.400858e+00	6.830709e-03
2.233999999999952e+00	-1.377311e+00	6.943446e-03
2.234999999999952e+00	-1.353428e+00	7.057860e-03
2.235999999999952e+00	-1.329206e+00	7.173972e-03
2.236999999999952e+00	-1.304639e+00	7.291804e-03
2.237999999999952e+00	-1.279725e+00	7.411376e-03
2.238999999999952e+00	-1.254458e+00	7.532710e-03
2.239999999999952e+00	-1.228834e+00	7.655828e-03
2.240999999999952e+00	-1.202850e+00	7.780751e-03
2.241999999999952e+00	-1.176500e+00	7.907501e-03
2.242999999999951e+00	-1.149780e+00	8.036101e-03
2.243999999999951e+00	-1.122686e+00	8.166572e-03
2.244999999999951e+00	-1.095213e+00	8.298936e-03
2.245999999999951e+00	-1.067357e+00	8.433217e-03
2.246999999999951e+00	-1.039113e+00	8.569436e-03
2.247999999999951e+00	-1.010477e+00	8.707618e-03
2.248999999999951e+00	-9.814429e-01	8.847784e-03
2.249999999999951e+00	-9.520080e-01	8.989959e-03
2.250999999999951e+00	-9.221668e-01	9.134166e-03
2.251999999999950e+00	-8.919144e-01	9.280427e-03
