vi	V(n002)	I(Rd)
2.137999999999963e+00	4.739159e+00	1.304206e-03
2.138999999999963e+00	4.734344e+00	1.328280e-03
2.139999999999963e+00	4.729444e+00	1.352779e-03
2.140999999999963e+00	4.724458e+00	1.377710e-03
2.141999999999963e+00	4.719384e+00	1.403079e-03
2.142999999999962e+00	4.714221e+00	1.428893e-03
2.143999999999962e+00	4.708968e+00	1.455160e-03
2.144999999999962e+00	4.703622e+00	1.481888e-03
2.145999999999962e+00	4.698184e+00	1.509083e-03
2.146999999999962e+00	4.692649e+00	1.536753e-03
2.147999999999962e+00	4.687019e+00	1.564906e-03
2.148999999999962e+00	4.681290e+00	1.593550e-03
2.149999999999962e+00	4.675461e+00	1.622692e-03
2.150999999999962e+00	4.669532e+00	1.652341e-03
2.151999999999961e+00	4.663499e+00	1.682505e-03
2.152999999999961e+00	4.657362e+00	1.713192e-03
2.153999999999961e+00	4.651118e+00	1.744409e-03
2.154999999999961e+00	4.644767e+00	1.776167e-03
2.155999999999961e+00	4.638306e+00	1.808472e-03
2.156999999999961e+00	4.631733e+00	1.841335e-03
2.157999999999961e+00	4.625047e+00	1.874764e-03
2.158999999999961e+00	4.618247e+00	1.908767e-03
2.159999999999961e+00	4.611330e+00	1.943353e-03
2.160999999999961e+00	4.604293e+00	1.978533e-03
2.161999999999960e+00	4.597137e+00	2.014315e-03
2.162999999999960e+00	4.589859e+00	2.050708e-03
2.163999999999960e+00	4.582456e+00	2.087723e-03
2.164999999999960e+00	4.574926e+00	2.125368e-03
2.165999999999960e+00	4.567269e+00	2.163654e-03
2.166999999999960e+00	4.559482e+00	2.202590e-03
2.167999999999960e+00	4.551563e+00	2.242187e-03
2.168999999999960e+00	4.543509e+00	2.282454e-03
2.169999999999960e+00	4.535319e+00	2.323403e-03
2.170999999999959e+00	4.526991e+00	2.365043e-03
2.171999999999959e+00	4.518523e+00	2.407385e-03
2.172999999999959e+00	4.509912e+00	2.450440e-03
2.173999999999959e+00	4.501156e+00	2.494218e-03
2.174999999999959e+00	4.492254e+00	2.538730e-03
2.175999999999959e+00	4.483202e+00	2.583989e-03
2.176999999999959e+00	4.473999e+00	2.630004e-03
2.177999999999959e+00	4.464643e+00	2.676788e-03
2.178999999999959e+00	4.455130e+00	2.724351e-03
2.179999999999958e+00	4.445459e+00	2.772706e-03
2.180999999999958e+00	4.435627e+00	2.821865e-03
2.181999999999958e+00	4.425632e+00	2.871838e-03
2.182999999999958e+00	4.415472e+00	2.922639e-03
2.183999999999958e+00	4.405144e+00	2.974280e-03
2.184999999999958e+00	4.394645e+00	3.026773e-03
2.185999999999958e+00	4.383974e+00	3.080131e-03
2.186999999999958e+00	4.373127e+00	3.134365e-03
2.187999999999958e+00	4.362102e+00	3.189491e-03
2.188999999999957e+00	4.350896e+00	3.245519e-03
2.189999999999957e+00	4.339507e+00	3.302464e-03
2.190999999999957e+00	4.327932e+00	3.360338e-03
2.191999999999957e+00	4.316169e+00	3.419155e-03
2.192999999999957e+00	4.304214e+00	3.478930e-03
2.193999999999957e+00	4.292065e+00	3.539674e-03
2.194999999999957e+00	4.279719e+00	3.601404e-03
2.195999999999957e+00	4.267174e+00	3.664132e-03
2.196999999999957e+00	4.254426e+00	3.727872e-03
2.197999999999956e+00	4.241472e+00	3.792640e-03
2.198999999999956e+00	4.228310e+00	3.858449e-03
2.199999999999956e+00	4.214937e+00	3.925316e-03
2.200999999999956e+00	4.201349e+00	3.993253e-03
2.201999999999956e+00	4.187545e+00	4.062277e-03
2.202999999999956e+00	4.173520e+00	4.132402e-03
2.203999999999956e+00	4.159271e+00	4.203645e-03
2.204999999999956e+00	4.144796e+00	4.276020e-03
2.205999999999956e+00	4.130091e+00	4.349543e-03
2.206999999999955e+00	4.115154e+00	4.424230e-03
2.207999999999955e+00	4.099980e+00	4.500098e-03
2.208999999999955e+00	4.084568e+00	4.577162e-03
2.209999999999955e+00	4.068913e+00	4.655438e-03
2.210999999999955e+00	4.053011e+00	4.734945e-03
2.211999999999955e+00	4.036860e+00	4.815697e-03
2.212999999999955e+00	4.020458e+00	4.897711e-03
2.213999999999955e+00	4.003799e+00	4.981006e-03
2.214999999999955e+00	3.986881e+00	5.065598e-03
2.215999999999954e+00	3.969699e+00	5.151504e-03
2.216999999999954e+00	3.952251e+00	5.238743e-03
2.217999999999954e+00	3.934534e+00	5.327331e-03
2.218999999999954e+00	3.916543e+00	5.417286e-03
2.219999999999954e+00	3.898274e+00	5.508628e-03
2.220999999999954e+00	3.879725e+00	5.601374e-03
2.221999999999954e+00	3.860892e+00	5.695542e-03
2.222999999999954e+00	3.841770e+00	5.791151e-03
2.223999999999954e+00	3.822356e+00	5.888219e-03
2.224999999999953e+00	3.802647e+00	5.986767e-03
2.225999999999953e+00	3.782638e+00	6.086812e-03
2.226999999999953e+00	3.762325e+00	6.188374e-03
2.227999999999953e+00	3.741705e+00	6.291474e-03
2.228999999999953e+00	3.720774e+00	6.396129e-03
2.229999999999953e+00	3.699528e+00	6.502360e-03
2.230999999999953e+00	3.677963e+00	6.610187e-03
2.231999999999953e+00	3.656074e+00	6.719630e-03
2.232999999999953e+00	3.633858e+00	6.830709e-03
2.233999999999952e+00	3.611311e+00	6.943446e-03
2.234999999999952e+00	3.588428e+00	7.057860e-03
2.235999999999952e+00	3.565206e+00	7.173972e-03
2.236999999999952e+00	3.541639e+00	7.291804e-03
2.237999999999952e+00	3.517725e+00	7.411376e-03
2.238999999999952e+00	3.493458e+00	7.532710e-03
2.239999999999952e+00	3.468834e+00	7.655828e-03
2.240999999999952e+00	3.443850e+00	7.780751e-03
2.241999999999952e+00	3.418500e+00	7.907501e-03
2.242999999999951e+00	3.392780e+00	8.036101e-03
2.243999999999951e+00	3.366686e+00	8.166572e-03
2.244999999999951e+00	3.340213e+00	8.298936e-03
2.245999999999951e+00	3.313357e+00	8.433217e-03
2.246999999999951e+00	3.286113e+00	8.569436e-03
2.247999999999951e+00	3.258476e+00	8.707618e-03
2.248999999999951e+00	3.230443e+00	8.847784e-03
2.249999999999951e+00	3.202008e+00	8.989959e-03
2.250999999999951e+00	3.173167e+00	9.134166e-03
2.251999999999950e+00	3.143914e+00	9.280427e-03
2.252999999999950e+00	3.114246e+00	9.428767e-03
2.253999999999950e+00	3.084158e+00	9.579211e-03
2.254999999999950e+00	3.053644e+00	9.731781e-03
2.255999999999950e+00	3.022700e+00	9.886502e-03
2.256999999999950e+00	2.991320e+00	1.004340e-02
2.257999999999950e+00	2.959501e+00	1.020249e-02
2.258999999999950e+00	2.927237e+00	1.036382e-02
2.259999999999950e+00	2.894523e+00	1.052739e-02
2.260999999999949e+00	2.861354e+00	1.069323e-02
2.261999999999949e+00	2.827725e+00	1.086138e-02
2.262999999999949e+00	2.793631e+00	1.103184e-02
2.263999999999949e+00	2.759067e+00	1.120466e-02
2.264999999999949e+00	2.724028e+00	1.137986e-02
2.265999999999949e+00	2.688508e+00	1.155746e-02
2.266999999999949e+00	2.652503e+00	1.173748e-02
2.267999999999949e+00	2.616007e+00	1.191996e-02
2.268999999999949e+00	2.579015e+00	1.210492e-02
2.269999999999949e+00	2.541522e+00	1.229239e-02
2.270999999999948e+00	2.503522e+00	1.248239e-02
2.271999999999948e+00	2.465011e+00	1.267495e-02
2.272999999999948e+00	2.425982e+00	1.287009e-02
2.273999999999948e+00	2.386430e+00	1.306785e-02
2.274999999999948e+00	2.346350e+00	1.326825e-02
2.275999999999948e+00	2.305737e+00	1.347131e-02
2.276999999999948e+00	2.264585e+00	1.367708e-02
2.277999999999948e+00	2.222888e+00	1.388556e-02
2.278999999999948e+00	2.180641e+00	1.409679e-02
2.279999999999947e+00	2.137839e+00	1.431080e-02
2.280999999999947e+00	2.094476e+00	1.452762e-02
2.281999999999947e+00	2.050546e+00	1.474727e-02
2.282999999999947e+00	2.006043e+00	1.496978e-02
2.283999999999947e+00	1.960963e+00	1.519519e-02
2.284999999999947e+00	1.915299e+00	1.542351e-02
